# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
3.26,2.1505325,2.0864601
3.28,2.1496542,2.0857215
3.3,2.1487705,2.0849784
3.32,2.1478813,2.0842306
3.34,2.1469867,2.0834783
3.36,2.1460865,2.0827212
3.38,2.1451807,2.0819595
3.4,2.1442694,2.0811932
3.42,2.1433525,2.0804221
3.44,2.1424299,2.0796462
3.46,2.1415017,2.0788656
3.48,2.1405678,2.0780802
3.5,2.1396281,2.0772899
3.52,2.1386827,2.0764949
3.54,2.1377315,2.0756949
3.56,2.1367745,2.0748901
3.58,2.1358117,2.0740803
3.6,2.134843,2.0732657
3.62,2.1338684,2.072446
3.64,2.1328879,2.0716214
3.66,2.1319014,2.0707917
3.68,2.130909,2.069957
3.7,2.1299106,2.0691173
3.72,2.1289061,2.0682725
3.74,2.1278956,2.0674225
3.76,2.126879,2.0665675
3.78,2.1258563,2.0657073
3.8,2.1248275,2.0648419
3.82,2.1237925,2.0639713
3.84,2.1227513,2.0630955
3.86,2.1217039,2.0622144
3.88,2.1206502,2.0613281
3.9,2.1195903,2.0604365
