# KTP (dispersive) -- principal refractive index
# source: K. Kato and E. Takaoka. Sellmeier and thermo-optic dispersion formulas for KTP. Appl. Opt. 41, 5040-5044 (2002).
# doi: 10.1364/AO.41.005040   conditions: 20 C
# validity: 0.43-3.54 um
# via refractiveindex.info database (CC0): KTiOPO4/nk/Kato-alpha.yml, KTiOPO4/nk/Kato-beta.yml, KTiOPO4/nk/Kato-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.9e-06
wavelength_um,nx,ny,nz
1.088,1.7372826,1.7447766,1.8287412
1.09,1.7372303,1.7447204,1.8286658
1.092,1.7371782,1.7446645,1.8285908
1.094,1.7371263,1.7446087,1.828516
1.096,1.7370746,1.7445531,1.8284415
1.098,1.737023,1.7444977,1.8283674
1.1,1.7369717,1.7444426,1.8282935
1.102,1.7369205,1.7443876,1.8282198
1.104,1.7368696,1.7443328,1.8281465
1.106,1.7368188,1.7442783,1.8280734
1.108,1.7367682,1.7442239,1.8280006
1.11,1.7367178,1.7441697,1.8279281
1.112,1.7366676,1.7441157,1.8278558
1.114,1.7366175,1.7440619,1.8277838
1.116,1.7365677,1.7440083,1.8277121
1.118,1.736518,1.7439549,1.8276406
1.12,1.7364684,1.7439016,1.8275694
1.122,1.7364191,1.7438486,1.8274984
1.124,1.7363699,1.7437957,1.8274277
1.126,1.7363209,1.743743,1.8273573
1.128,1.7362721,1.7436905,1.8272871
1.13,1.7362234,1.7436381,1.8272171
1.132,1.7361749,1.743586,1.8271474
1.134,1.7361266,1.743534,1.8270779
1.136,1.7360784,1.7434822,1.8270087
1.138,1.7360304,1.7434305,1.8269397
1.14,1.7359826,1.743379,1.8268709
1.142,1.7359349,1.7433277,1.8268024
1.144,1.7358873,1.7432766,1.8267341
1.146,1.73584,1.7432256,1.8266661
1.148,1.7357927,1.7431748,1.8265983
1.15,1.7357457,1.7431241,1.8265307
1.152,1.7356988,1.7430736,1.8264633
1.154,1.735652,1.7430233,1.8263961
1.156,1.7356054,1.7429731,1.8263292
1.158,1.7355589,1.742923,1.8262625
1.16,1.7355126,1.7428732,1.826196
1.162,1.7354664,1.7428235,1.8261297
1.164,1.7354204,1.7427739,1.8260637
1.166,1.7353745,1.7427245,1.8259978
1.168,1.7353287,1.7426752,1.8259322
1.17,1.7352831,1.7426261,1.8258667
1.172,1.7352377,1.7425771,1.8258015
1.174,1.7351923,1.7425283,1.8257365
1.176,1.7351471,1.7424796,1.8256717
1.178,1.7351021,1.7424311,1.8256071
1.18,1.7350571,1.7423827,1.8255426
1.182,1.7350124,1.7423344,1.8254784
1.184,1.7349677,1.7422863,1.8254144
1.186,1.7349232,1.7422383,1.8253506
1.188,1.7348788,1.7421904,1.8252869
1.19,1.7348345,1.7421427,1.8252235
1.192,1.7347904,1.7420952,1.8251602
1.194,1.7347463,1.7420477,1.8250972
